state,idxs,pop,pop_18,pop_60, lat, long
Malaysia,0,32657400,23409600,3502000, 4.2105, 101.9758
Johor,1,3781000,2711900,428700, 1.937344, 103.366585
Kedah,2,2185100,1540600,272500, 6.155672, 100.569649
Kelantan,3,1906700,1236200,194100, 	6.125397, 102.238068
Melaka,4,932700,677400,118500
Negeri Sembilan,5,1128800,814400,145000, 2.731813, 102.252502
Pahang,6,1678700,1175800,190200, 3.974341, 102.438057
Pulau Pinang,7,1773600,1367200,239200, 5.285153, 100.456238
Perak,8,2510300,1862700,397300, 4.693950, 101.117577
Perlis,9,254900,181200,35100, 6.443589, 100.216599
Selangor,10,6538000,4747900,575800, 3.509247, 101.524803
Terengganu,11,1259300,808400,115200
Sabah,12,3908500,2758400,238900, 5.420404, 116.796783
Sarawak,13,2816500,2042700,332800, 1.5533, 110.3592
W.P. Kuala Lumpur,14,1773700,1348600,205800, 3.1390, 101.6869
W.P. Labuan,15,99600,68500,7900, 5.2831, 115.2308
W.P. Putrajaya,16,110000,67700,5000, 2.9264, 101.6964
